 tempo     90  90_std        dia tipo_vento
184.54  -3.13    0.09 2005-07-03 meridional
185.54   8.90    0.46 2005-07-04 meridional
186.54 -51.86    0.11 2005-07-05 meridional
187.54   2.82    0.01 2005-07-06 meridional
188.54 -29.03    0.46 2005-07-07 meridional
189.54  -7.64    0.47 2005-07-08 meridional
190.54 -36.23    0.52 2005-07-09 meridional
191.54  20.13    0.21 2005-07-10 meridional
192.54 -22.82    0.45 2005-07-11 meridional
193.54  -1.50    0.99 2005-07-12 meridional
194.54 -64.48    0.17 2005-07-13 meridional
195.54  18.48    0.86 2005-07-14 meridional
196.54 -33.33    0.47 2005-07-15 meridional
198.54 -31.36    0.22 2005-07-17 meridional
199.54 -17.31    0.38 2005-07-18 meridional
200.54 -38.22    0.34 2005-07-19 meridional
201.54 -14.75    0.24 2005-07-20 meridional
202.54   3.11    0.23 2005-07-21 meridional
203.54 -53.75    0.08 2005-07-22 meridional
204.54 -18.43    0.31 2005-07-23 meridional
205.54   3.09    0.19 2005-07-24 meridional
206.54 -19.46    0.02 2005-07-25 meridional
207.54  -4.27    2.34 2005-07-26 meridional
208.54   8.73    0.11 2005-07-27 meridional
209.54   9.22    0.67 2005-07-28 meridional
210.54  28.54    0.01 2005-07-29 meridional
211.54  14.47    0.36 2005-07-30 meridional
212.50 -15.51    0.22 2005-07-31 meridional
213.54 -52.21    0.21 2005-08-01 meridional
214.54  36.39    0.07 2005-08-02 meridional
215.54 -18.06    0.19 2005-08-03 meridional
216.54   5.19    0.12 2005-08-04 meridional
217.54 -29.85    0.61 2005-08-05 meridional
218.54   7.94    0.10 2005-08-06 meridional
219.54  -3.66    0.23 2005-08-07 meridional
220.54 -50.44    0.14 2005-08-08 meridional
221.54  13.59    0.18 2005-08-09 meridional
222.54 -20.14    0.24 2005-08-10 meridional
223.54 -43.93    1.76 2005-08-11 meridional
224.54   0.58    0.23 2005-08-12 meridional
225.54  22.64    0.67 2005-08-13 meridional
226.54 -21.82    0.85 2005-08-14 meridional
227.54 -19.46    1.10 2005-08-15 meridional
228.54  16.09    0.21 2005-08-16 meridional
229.54 -26.31    0.84 2005-08-17 meridional
230.54 -17.20    0.34 2005-08-18 meridional
231.54   6.08    0.55 2005-08-19 meridional
232.54    NaN    0.00 2005-08-20 meridional
233.54 -28.39    0.36 2005-08-21 meridional
234.54  -0.04    0.43 2005-08-22 meridional
235.54 -30.72    0.28 2005-08-23 meridional
236.54  -8.05    0.29 2005-08-24 meridional
237.54 -33.63    1.17 2005-08-25 meridional
238.54   5.85    1.12 2005-08-26 meridional
239.54 -53.24    0.11 2005-08-27 meridional
240.54 -46.84    0.09 2005-08-28 meridional
241.54 -18.84    0.09 2005-08-29 meridional
242.54  -2.62    1.11 2005-08-30 meridional
243.50 -72.46    0.24 2005-08-31 meridional
244.54 -20.07    0.70 2005-09-01 meridional
245.54 -26.72    0.24 2005-09-02 meridional
246.54 -23.37    0.16 2005-09-03 meridional
247.54 -19.73    0.85 2005-09-04 meridional
248.54 -39.32    0.24 2005-09-05 meridional
249.54 -47.28    0.42 2005-09-06 meridional
250.54 -82.04    0.04 2005-09-07 meridional
251.54  -4.89    0.56 2005-09-08 meridional
252.54 -48.09    0.28 2005-09-09 meridional
